Date,Open,High,Low,Close,Adj Close,Volume
2020-09-25,71.631500,72.500000,70.667000,72.248001,72.248001,26460000
2020-09-30,73.339996,74.487503,72.994003,73.480003,73.480003,34032000
2020-10-05,73.310501,74.410500,73.213501,74.301003,74.301003,22266000
2020-10-15,77.357498,78.755249,77.251503,77.956497,77.956497,30800000
2020-10-20,76.352501,78.875000,76.283501,77.796501,77.796501,44834000
2020-10-30,83.605499,84.349998,80.223000,81.050499,81.050499,86582000
2020-11-04,85.514000,88.568253,85.301498,87.456497,87.456497,71418000
2020-11-09,89.544998,90.903000,88.000999,88.150002,88.150002,45366000
2020-11-19,86.918999,88.479500,86.850250,88.195999,88.195999,24998000
2020-11-24,86.525002,88.580002,86.384499,88.444000,88.444000,31560000
2020-12-04,91.225998,91.657997,90.849503,91.399498,91.399498,27564000
2020-12-09,90.600502,91.713501,88.390503,89.206497,89.206497,30152000
2020-12-14,88.750000,89.869499,87.860748,88.002998,88.002998,32004000
2020-12-24,86.750000,87.300003,86.455498,86.942497,86.942497,6936000
2020-12-29,89.389503,89.622002,87.804497,87.935997,87.935997,25988000
2021-01-08,89.399002,90.491997,88.676750,90.360497,90.360497,41012000
2021-01-13,86.929001,88.251747,86.900497,87.720001,87.720001,21882000
2021-01-28,92.196999,94.941498,92.132004,93.155502,93.155502,35462000
2021-02-02,96.127998,97.788002,95.724503,96.375504,96.375504,45474000
2021-02-12,104.512497,105.441002,104.156502,105.205498,105.205498,17114000
2021-02-17,105.000000,106.682999,104.945999,106.415497,106.415497,21418000
2021-02-22,103.349998,104.570999,103.107002,103.244003,103.244003,27350000
2021-03-04,101.168503,104.461998,101.013496,102.454498,102.454498,42360000
2021-03-09,103.500000,103.902000,102.391502,102.635002,102.635002,33946000
2021-03-19,102.102501,102.654999,100.884003,102.160004,102.160004,46298000
2021-03-24,103.268501,103.910500,102.077751,102.252998,102.252998,23080000
2021-03-29,101.393997,102.921501,100.780998,102.797501,102.797501,24596000
2021-04-08,113.898003,114.200249,112.884003,113.272003,113.272003,27166000
2021-04-13,113.073502,113.860497,112.804497,113.363503,113.363503,23310000
2021-04-23,114.173500,116.291000,113.910500,115.764999,115.764999,28670000
2021-04-28,120.357246,122.618896,118.742500,118.995499,118.995499,59728000
2021-05-03,120.136002,120.985001,119.224998,119.758499,119.758499,33788000
2021-05-13,113.054497,113.830048,112.136002,113.098503,113.098503,26670000
2021-05-18,116.845299,117.157501,115.157997,115.171501,115.171501,17302000
2021-05-28,121.098000,121.406998,120.384499,120.578003,120.578003,24108000
2021-06-02,121.765503,122.099998,120.209999,121.064003,121.064003,17158000
2021-06-07,122.566002,123.400002,122.053650,123.304497,123.304497,23850000
2021-06-17,125.523003,127.196503,125.514999,126.371002,126.371002,25756000
2021-06-22,126.449997,127.269997,126.026497,126.999496,126.999496,20984000
2021-07-02,126.839500,128.848007,126.768997,128.718994,128.718994,21160000
2021-07-07,130.341003,130.639893,129.759995,130.077499,130.077499,16680000
2021-07-12,129.833496,130.770004,129.600006,130.563995,130.563995,16944000
2021-07-22,132.649994,133.504501,132.399994,133.328506,133.328506,13608000
2021-07-27,140.011002,140.011002,135.100006,136.796494,136.796494,42164000
2021-08-06,136.294998,137.080048,136.046494,137.035995,137.035995,13560000
2021-08-11,138.283005,138.847748,137.350006,137.689499,137.689499,15204000
2021-08-16,138.000000,138.990494,136.165756,138.916000,138.916000,18040000
2021-08-26,142.618500,143.134796,142.091507,142.123001,142.123001,14922000
2021-08-31,145.884506,146.112000,145.000000,145.462006,145.462006,26756000
2021-09-10,145.443497,146.018997,141.741501,141.921005,141.921005,32896000
2021-09-15,143.759003,145.581497,142.255997,145.205994,145.205994,20648000
2021-09-20,139.000198,139.362503,137.052994,139.016998,139.016998,34918000
2021-09-30,134.324997,135.589996,133.000000,133.265503,133.265503,35294000
2021-10-05,134.000000,137.362000,134.000000,136.177002,136.177002,24126000
2021-10-15,142.199997,142.199997,141.064499,141.675003,141.675003,21250000
2021-10-20,144.222504,144.247757,141.912003,142.414993,142.414993,17940000
2021-10-25,138.810501,139.205795,136.748505,138.772995,138.772995,21082000
2021-11-04,147.199997,149.949997,146.634995,148.682999,148.682999,24700000
2021-11-09,149.746002,150.378494,147.507004,149.248505,149.248505,16876000
2021-11-19,151.000000,151.850006,149.887497,149.952499,149.952499,19766000
2021-11-24,146.350006,147.000000,145.199005,146.717499,146.717499,16464000
2021-11-29,144.298492,146.862000,144.298492,146.113998,146.113998,26276000
2021-12-09,148.175995,149.604996,147.529007,148.106003,148.106003,18580000
2021-12-14,144.770004,145.442001,142.242493,144.970505,144.970505,24778000
2021-12-29,146.429504,147.183746,145.504501,146.504501,146.504501,17022000
